Evento,Estacion
2014_05_20 10_46_35_M2_7,GO01
2014_01_04 18_56_31_M3_6,PB06
2014_07_28 10_22_40_M3_2,GO01
2014_04_13 13_28_11_M3_7,GO01
2014_11_28 09_27_31_M3_0,CO02
2014_01_18 01_29_56_M2_3,PB06
2014_04_30 09_39_40_M3_7,GO01
2014_02_07 18_35_16_M2_5,GO01
2015_07_18 21_22_35_M3_6,PB09
2014_05_10 16_40_18_M3_9,GO03
2015_07_25 01_58_30_M2_1,PB09
2014_04_26 20_36_57_M3_4,GO01
2015_03_09 06_17_15_M3_5,PB06
2014_03_27 07_32_11_M2_6,GO01
2014_05_24 08_03_06_M3_2,GO01
2014_03_24 03_39_03_M2_9,GO01
2014_04_03 19_56_49_M3_3,GO01
2014_10_19 08_02_23_M3_7,GO01
2014_03_19 12_23_14_M3_5,GO01
2014_04_09 00_41_47_M1_9,GO01
2014_04_25 13_40_50_M3_1,GO01
2014_04_21 07_33_38_M3_1,GO01
2014_07_13 13_13_16_M2_5,PB09
2014_01_06 15_01_18_M3_4,GO01
2014_09_14 13_14_23_M3_2,GO01
2015_09_19 13_35_54_M3_7,GO03
2014_07_16 03_37_47_M3_3,CO02
2015_02_07 18_41_42_M3_0,CO02
2014_07_04 19_58_08_M2_3,GO01
2015_04_14 01_59_31_M2_7,PB06
2014_04_07 09_54_26_M2_1,GO01
2014_01_08 20_35_37_M3_9,PB09
2015_04_29 11_34_16_M3_9,GO03
2014_06_28 15_47_41_M3_8,GO01
2015_08_12 17_45_32_M3_8,CO02
2015_02_03 18_48_19_M2_8,PB06
2014_03_21 18_29_22_M2_7,GO01
2020_10_06 11_32_48_M3_7,PB09
2015_06_01 04_27_52_M2_7,PB06
2014_01_22 17_36_50_M3_6,GO01
2014_04_04 11_29_08_M2_7,GO01
2015_02_17 22_11_47_M2_6,PB09
2015_05_14 09_09_23_M2_5,PB09
2014_04_06 19_42_22_M3_5,GO01
2015_04_12 09_41_53_M2_4,PB06
2014_01_04 08_25_35_M3_7,PB09
2014_03_23 07_03_09_M3_3,GO01
2015_06_24 22_23_18_M3_4,CO02
2014_04_02 04_57_41_M3_6,GO01
2014_03_18 20_32_18_M2_5,GO01
2014_05_15 06_10_34_M2_7,CO02
2014_07_26 21_25_15_M3_6,PB06
2015_01_07 17_19_06_M2_7,GO01
2014_03_29 18_00_25_M3_0,GO01
2014_09_12 16_14_33_M3_9,CO02
2020_06_19 05_39_16_M3_0,GO01
2014_01_11 13_43_26_M3_7,GO01
2014_03_18 13_51_57_M2_3,GO01
2014_03_18 16_08_18_M2_4,GO01
2014_10_19 17_56_18_M3_4,PB09
2015_01_02 12_08_42_M2_6,GO01
2014_04_04 07_13_19_M3_8,GO01
2014_12_10 02_37_56_M2_8,CO02
2017_04_27 01_55_05_M3_9,CO02
2014_02_25 00_03_05_M2_5,GO01
2015_01_29 06_17_05_M2_6,CO02
2014_05_19 06_02_52_M3_0,GO01
2014_03_28 04_19_35_M2_3,GO01
2014_04_29 04_06_30_M3_7,CO02
2014_04_30 14_38_59_M3_5,GO01
2014_04_30 12_48_18_M2_4,PB09
2014_04_06 18_00_56_M3_4,GO01
2014_04_02 15_37_03_M2_9,GO01
2014_05_11 00_35_54_M2_3,GO01
2015_02_19 16_18_37_M2_9,CO02
2015_01_02 01_02_18_M3_4,GO01
2014_03_24 04_41_40_M2_5,GO01
2014_12_08 23_16_22_M3_5,GO03
2014_04_10 09_14_09_M2_4,GO01
