Evento,Estacion
2019_12_03 08_46_36_M6_0,GO01
2019_06_14 00_19_12_M6_4,CO02
2014_04_24 10_26_49_M5_2,GO01
2017_09_18 13_46_57_M5_9,CO02
2014_04_15 17_12_20_M5_0,GO01
2014_01_04 00_11_50_M5_7,PB09
2014_03_24 05_22_41_M4_0,GO01
2014_04_05 02_22_39_M5_6,GO03
2014_04_04 16_02_42_M4_9,GO01
2016_02_22 06_37_03_M5_9,CO02
2014_12_02 01_00_45_M4_5,PB09
2014_03_27 02_27_53_M2_1,GO01
2014_03_19 16_59_06_M2_9,GO01
2014_02_21 18_17_30_M2_5,PB06
2014_08_05 17_13_06_M3_0,GO01
2014_03_19 04_49_50_M3_6,GO03
2014_06_20 15_43_19_M2_4,GO01
2014_06_21 07_22_34_M2_7,PB09
2014_04_27 03_15_47_M2_3,GO01
2015_01_26 01_38_24_M2_4,CO02
2014_06_09 13_57_28_M3_7,PB09
2014_05_03 15_55_19_M2_5,GO01
2014_09_23 03_43_38_M2_8,GO01
2015_08_22 08_24_39_M3_3,GO03
2020_10_11 07_06_13_M3_8,GO01
2014_05_01 09_39_40_M2_5,PB06
2014_02_28 20_36_36_M2_9,PB14
2015_04_07 12_15_08_M3_3,GO03
2014_04_02 14_10_49_M3_5,GO01
2014_04_11 19_08_34_M3_1,GO01
2014_12_16 18_50_12_M2_6,GO03
2015_03_13 00_44_04_M3_8,PB06
2014_02_03 12_36_27_M2_8,GO03
2014_04_19 18_21_54_M2_9,PB06
2014_03_18 17_31_58_M2_5,GO01
2015_07_19 09_18_21_M3_5,CO02
2015_05_12 05_50_13_M2_9,PB06
2014_04_01 01_06_37_M2_9,GO01
2014_04_05 13_36_21_M3_9,GO01
2015_03_01 07_46_24_M3_2,PB14
2015_08_01 18_11_01_M2_6,PB06
2014_07_08 17_19_43_M2_8,GO01
2014_03_19 21_15_22_M3_7,GO01
2014_03_17 15_48_56_M2_5,GO01
2014_05_06 15_03_56_M2_7,GO01
2014_04_28 11_03_49_M3_5,GO01
2014_06_10 06_14_24_M3_5,GO01
2015_06_11 12_04_31_M2_3,PB09
2015_08_01 10_19_06_M3_4,GO03
2014_04_19 12_57_15_M2_8,GO01
2014_03_26 11_29_41_M2_4,GO01
2015_04_07 21_16_22_M2_8,CO02
2014_03_19 16_35_31_M2_2,GO01
2014_01_08 07_13_04_M2_1,PB14
2014_02_04 11_44_28_M3_6,PB09
2014_06_04 17_27_40_M2_4,GO01
2014_03_27 02_32_21_M2_4,GO01
2014_04_04 13_41_28_M3_9,GO01
2014_10_05 01_14_24_M2_6,GO01
2014_08_27 21_10_00_M2_6,GO01
2014_05_27 20_54_27_M2_6,GO01
2014_07_22 04_27_46_M2_9,PB09
2014_05_20 09_19_05_M2_4,GO01
2014_03_14 15_31_02_M3_2,GO03
2014_03_10 08_59_25_M3_5,PB06
2014_06_14 16_11_29_M3_9,CO02
2014_04_19 18_39_51_M2_7,GO01
2014_03_24 00_42_03_M2_7,GO01
2015_01_05 22_09_18_M3_3,CO01
2014_06_20 18_05_34_M1_9,PB06
2014_11_23 08_54_27_M2_3,PB06
2014_03_19 01_19_19_M2_9,GO01
2014_06_07 07_48_35_M3_0,GO01
2014_09_01 20_41_31_M3_4,GO01
2014_04_11 21_21_58_M3_5,GO03
2014_11_19 11_21_38_M2_5,PB06
2020_11_18 05_31_39_M3_9,CO01
2014_03_25 22_08_46_M3_6,GO03
2015_01_27 09_59_44_M2_9,PB09
2014_07_02 12_08_48_M3_1,GO01
2014_03_20 11_40_16_M3_1,PB06
2014_05_28 00_41_24_M3_1,PB09
2014_05_20 10_46_35_M2_7,GO01
2014_01_04 18_56_31_M3_6,PB06
2014_07_28 10_22_40_M3_2,GO01
2014_04_13 13_28_11_M3_7,GO01
2014_11_28 09_27_31_M3_0,CO02
2014_01_18 01_29_56_M2_3,PB06
2014_04_30 09_39_40_M3_7,GO01
2014_02_07 18_35_16_M2_5,GO01
2015_07_18 21_22_35_M3_6,PB09
2014_05_10 16_40_18_M3_9,GO03
2015_07_25 01_58_30_M2_1,PB09
2014_04_26 20_36_57_M3_4,GO01
2015_03_09 06_17_15_M3_5,PB06
2014_03_27 07_32_11_M2_6,GO01
2014_05_24 08_03_06_M3_2,GO01
2014_03_24 03_39_03_M2_9,GO01
2014_04_03 19_56_49_M3_3,GO01
2014_10_19 08_02_23_M3_7,GO01
2014_03_19 12_23_14_M3_5,GO01
2014_04_09 00_41_47_M1_9,GO01
2014_04_25 13_40_50_M3_1,GO01
2014_04_21 07_33_38_M3_1,GO01
2014_07_13 13_13_16_M2_5,PB09
2014_01_06 15_01_18_M3_4,GO01
2014_09_14 13_14_23_M3_2,GO01
2015_09_19 13_35_54_M3_7,GO03
2014_07_16 03_37_47_M3_3,CO02
2015_02_07 18_41_42_M3_0,CO02
2014_07_04 19_58_08_M2_3,GO01
2015_04_14 01_59_31_M2_7,PB06
2014_04_07 09_54_26_M2_1,GO01
2014_01_08 20_35_37_M3_9,PB09
2015_04_29 11_34_16_M3_9,GO03
2014_06_28 15_47_41_M3_8,GO01
2015_08_12 17_45_32_M3_8,CO02
2015_02_03 18_48_19_M2_8,PB06
2014_03_21 18_29_22_M2_7,GO01
2020_10_06 11_32_48_M3_7,PB09
2015_06_01 04_27_52_M2_7,PB06
2014_01_22 17_36_50_M3_6,GO01
2014_04_04 11_29_08_M2_7,GO01
2015_02_17 22_11_47_M2_6,PB09
2015_05_14 09_09_23_M2_5,PB09
2014_04_06 19_42_22_M3_5,GO01
2015_04_12 09_41_53_M2_4,PB06
2014_01_04 08_25_35_M3_7,PB09
2014_03_23 07_03_09_M3_3,GO01
2015_06_24 22_23_18_M3_4,CO02
2014_04_02 04_57_41_M3_6,GO01
2014_03_18 20_32_18_M2_5,GO01
2014_05_15 06_10_34_M2_7,CO02
2014_07_26 21_25_15_M3_6,PB06
2015_01_07 17_19_06_M2_7,GO01
2014_03_29 18_00_25_M3_0,GO01
2014_09_12 16_14_33_M3_9,CO02
2020_06_19 05_39_16_M3_0,GO01
2014_01_11 13_43_26_M3_7,GO01
2014_03_18 13_51_57_M2_3,GO01
2014_03_18 16_08_18_M2_4,GO01
2014_10_19 17_56_18_M3_4,PB09
2015_01_02 12_08_42_M2_6,GO01
2014_04_04 07_13_19_M3_8,GO01
2014_12_10 02_37_56_M2_8,CO02
2017_04_27 01_55_05_M3_9,CO02
2014_02_25 00_03_05_M2_5,GO01
2015_01_29 06_17_05_M2_6,CO02
2014_05_19 06_02_52_M3_0,GO01
2014_03_28 04_19_35_M2_3,GO01
2014_04_29 04_06_30_M3_7,CO02
2014_04_30 14_38_59_M3_5,GO01
2014_04_30 12_48_18_M2_4,PB09
2014_04_06 18_00_56_M3_4,GO01
2014_04_02 15_37_03_M2_9,GO01
2014_05_11 00_35_54_M2_3,GO01
2015_02_19 16_18_37_M2_9,CO02
2015_01_02 01_02_18_M3_4,GO01
2014_03_24 04_41_40_M2_5,GO01
2014_12_08 23_16_22_M3_5,GO03
2014_04_10 09_14_09_M2_4,GO01
